experiment_id,dataset,mode,n,patterns,pattern_hash,runtime_mean_ms,runtime_sd_ms,runtime_median_ms,runtime_iqr_ms,runtime_ci95_lo_ms,runtime_ci95_hi_ms,heap_mean_mb,heap_sd_mb,heap_median_mb,nodes_median,candidates_median,corr_pruned_median,uo_bound_pruned_median,eda_aborts_median,duo_entries_median,lazy_duo_skips_median
journal_foodmart,Foodmart,UOB_NO_EDA,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,853.7,40.901100229700425,853.5,28.0,824.4431482425057,882.9568517574944,357.1336389,43.47184092291041,378.8105815,1559.0,1214358.0,0.0,4.0,0.0,0.0,1214358.0
journal_foodmart,Foodmart,UOB_NO_UO_BOUND,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,844.1,58.75835637970521,833.0,70.75,802.0697242259821,886.130275774018,322.0035577,29.763110964344836,308.697632,1559.0,1214461.0,0.0,0.0,0.0,0.0,1214461.0
journal_foodmart,Foodmart,UOB_POSTFILTER,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,882.4,55.2754717553616,883.5,48.0,842.8610566979844,921.9389433020156,364.76455,50.7038990530073,383.63676799999996,1559.0,1214358.0,0.0,4.0,0.0,0.0,0.0
journal_foodmart,Foodmart,UOB_RECOMPUTE_DUO,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,868.6,37.34285592839531,864.5,44.75,841.8883860345355,895.3116139654645,363.5221221,43.195226410638014,370.202961,1559.0,1214358.0,0.0,4.0,0.0,0.0,1214358.0
journal_kosarak,Kosarak,CORHUOPM_AC,10,3,0510c7d8959f09ff10c131a6f5f9013c28a3e1797cfa99b32ff2364567a2755d,1084.9,260.0048931163497,1192.0,62.0,898.9166261687891,1270.8833738312112,362.5045395,0.6167151362314204,362.6811905,28.0,56.0,13.0,1.0,0.0,0.0,0.0
journal_kosarak,Kosarak,CORHUOPM_BOND,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,1604.6,51.618687399902846,1615.5,50.75,1567.6767809009018,1641.523219099098,377.8481019,0.5144238132572211,377.7018395,27.0,55.0,13.0,1.0,0.0,0.0,0.0
journal_kosarak,Kosarak,COUPM_KULC_ADAPTED,10,4,cbe904d9e0961dc7ccd577b986c4044a8d2701a41bcef280aa8d730af177a888,1023.4,287.88701487447,1047.0,558.5,817.4723435362797,1229.3276564637204,398.91528170000004,0.6000837567756829,398.714977,30.0,59.0,0.0,10.0,0.0,0.0,0.0
journal_kosarak,Kosarak,HUOPM,10,5,f79b72805735446cd348b93550098c820ea725a51e157a3e7e32cb12764ebdfb,1033.9,288.3888000599191,1043.5,549.0,827.6134129768977,1240.1865870231024,398.7043707,0.07170442003895541,398.7008285,30.0,59.0,0.0,10.0,0.0,0.0,0.0
journal_kosarak,Kosarak,UOB_EAGER_DUO,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,1230.2,193.20846542300137,1265.0,95.0,1091.9965922816664,1368.4034077183337,444.6165512,3.8292326880080734,444.2197495,14.0,55.0,52.0,1.0,52.0,1527348.0,0.0
journal_kosarak,Kosarak,UOB_FULL,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,1279.2,49.13654444504619,1265.0,43.5,1244.0522756446453,1314.3477243553548,411.4715621,5.424178286228806,412.9044495,14.0,55.0,13.0,1.0,13.0,1527348.0,39.0
journal_kosarak,Kosarak,UOB_NO_EDA,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,1411.7,201.99232658692756,1446.0,184.5,1267.2134330881934,1556.1865669118067,337.4637009,4.69517798343787,338.94003299999997,27.0,55.0,13.0,1.0,0.0,8514448.0,39.0
journal_kosarak,Kosarak,UOB_NO_UO_BOUND,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,953.7,78.81631246836604,934.5,52.25,897.3221236834873,1010.0778763165127,389.8233124,7.732810964223952,394.1240235,14.0,55.0,13.0,0.0,13.0,1527348.0,39.0
journal_kosarak,Kosarak,UOB_POSTFILTER,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,1673.2,280.4376738045174,1543.0,542.5,1472.6009108890073,1873.7990891109928,398.9129793,0.6185346338920839,398.72126049999997,30.0,59.0,0.0,10.0,0.0,0.0,0.0
journal_kosarak,Kosarak,UOB_RECOMPUTE_DUO,10,2,613dc7b23dcac1c88757d1ecccaa1d72916bd5ea2721e7a3a845462b68e1bc11,1586.3,54.99505028232591,1589.0,68.0,1546.9616441985686,1625.6383558014313,326.5178977,3.068649918373765,327.89264649999996,27.0,55.0,13.0,1.0,0.0,17028896.0,39.0
journal_mushroom,Mushroom,CORHUOPM_AC,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,134.0,28.682166352398603,134.0,26.25,113.48343970349805,154.51656029650195,242.7173035,0.02513443786366207,242.7048835,1328.0,1860.0,1117.0,46.0,0.0,0.0,0.0
journal_mushroom,Mushroom,CORHUOPM_BOND,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,170.9,37.87831393642894,158.0,72.25,143.80536906248767,197.99463093751234,227.7235419,0.03550691632923264,227.707771,860.0,1356.0,727.0,34.0,0.0,0.0,0.0
journal_mushroom,Mushroom,COUPM_KULC_ADAPTED,10,3086,6c7cc5cbeedb3573b322b581e254b220d7dda5552f39f5534868e9a7be353ba8,6652.3,210.3230583861144,6613.5,97.5,6501.8544005949,6802.745599405101,311.489279,0.20840390460352773,311.51445,48106.0,49056.0,0.0,3781.0,0.0,0.0,0.0
journal_mushroom,Mushroom,HUOPM,10,31025,7adb19cf5294bc4690c31f0e6b4eb8a6b8689775d5cdf8e9835252305143471a,6718.8,459.2587747906644,6596.5,341.75,6390.288888638208,7047.311111361792,311.5717611,0.26399919133859656,311.632465,48106.0,49056.0,0.0,3781.0,0.0,0.0,0.0
journal_mushroom,Mushroom,UOB_EAGER_DUO,10,6,3b9801adc9cdaffe96313b9dee5ab95553ce0e0fddff9abe9a0d4709c1a337c7,511.7,46.079761766359475,504.5,57.25,478.7388143241175,544.6611856758825,309.4554154,0.4265457649118914,309.226181,966.0,2944.0,1808.0,380.0,1808.0,7456927.0,0.0
